ProductName,Category,Price,Quantity,Date
Laptop,Electronics,1200,5,2023-10-01
Smartphone,Electronics,800,8,2023-10-01
Desk Chair,Furniture,150,10,2023-10-02
Coffee Maker,Appliances,50,3,2023-10-03
Running Shoes,Apparel,80,7,2023-10-04
LED TV,Electronics,1000,2,2023-10-05
Office Desk,Furniture,250,4,2023-10-06
Blender,Appliances,40,6,2023-10-07
T-shirt,Apparel,20,15,2023-10-08
Headphones,Electronics,100,9,2023-10-09
Chair,Furniture,80,5,2023-10-10
Microwave,Appliances,120,2,2023-10-11
Sneakers,Apparel,90,6,2023-10-12
Desktop Computer,Electronics,1500,3,2023-10-13
Dining Table,Furniture,300,2,2023-10-14
Toaster,Appliances,30,4,2023-10-15
Jeans,Apparel,60,8,2023-10-16
Wireless Speaker,Electronics,200,6,2023-10-17
Bookshelf,Furniture,180,3,2023-10-18
Hair Dryer,Appliances,45,5,2023-10-19
Hoodie,Apparel,40,10,2023-10-20
Tablet,Electronics,500,7,2023-10-21
Sofa,Furniture,600,1,2023-10-22
Rice Cooker,Appliances,70,3,2023-10-23
Socks,Apparel,10,20,2023-10-24
Gaming Console,Electronics,400,4,2023-10-25
Bed Frame,Furniture,700,2,2023-10-26
Vacuum Cleaner,Appliances,150,3,2023-10-27
Dress,Apparel,70,8,2023-10-28
Digital Camera,Electronics,800,1,2023-10-29
Couch,Furniture,900,1,2023-10-30
Electric Kettle,Appliances,35,5,2023-10-31
